date,profit_rate,avg_cost,cost90_low,cost90_high,chip_concentration_90,cost70_low,cost70_high,chip_concentration_70,stock_code
2026-03-19,0.01794080875481409,21.11,19.83,21.99,0.05174325944496259,20.54,21.8,0.029767848821174232,000869
2026-03-20,0.0,21.11,19.8,21.99,0.052342500337258374,20.52,21.79,0.02984790512630156,000869
2026-03-23,0.0,21.11,19.71,22.0,0.054839150825764786,20.41,21.79,0.032525768850902484,000869
2026-03-24,0.013201819557397262,21.11,19.69,21.97,0.05491000301251892,20.33,21.79,0.03450506724456629,000869
2026-03-25,0.024728734601535744,21.09,19.66,21.97,0.05559191542729659,20.28,21.79,0.03582882069315431,000869
2026-03-26,0.01212704193409698,21.09,19.63,21.97,0.05627471001272703,20.22,21.79,0.03715596623404838,000869
2026-03-27,0.03547738173921795,21.09,19.61,21.97,0.05695838848177681,20.17,21.79,0.03848651692223041,000869
2026-03-30,0.04206121029223201,21.09,19.58,21.97,0.05764295255185023,20.12,21.79,0.03982048587976015,000869
2026-03-31,0.04122063658513741,21.09,19.5,21.97,0.0597019756091246,20.06,21.79,0.04115788629620719,000869
2026-04-01,0.05432799666379167,21.09,19.42,21.97,0.06176903133122437,20.04,21.79,0.04182787744183171,000869
2026-04-02,0.04761708832905989,21.09,19.42,21.97,0.06176903133122437,20.01,21.79,0.042498731429085335,000869
2026-04-03,0.036308907797891754,21.09,19.36,21.97,0.06315155431371376,19.98,21.79,0.04317044992584526,000869
2026-04-07,0.03712584667608084,21.06,19.31,21.97,0.06453768233980194,19.98,21.76,0.0425535335865172,000869
2026-04-08,0.05813260554455913,21.06,19.31,21.97,0.06453768233980194,19.98,21.76,0.0425535335865172,000869
2026-04-09,0.05009129103914997,21.06,19.26,21.97,0.06592742952857354,19.96,21.76,0.04322615418030878,000869
2026-04-10,0.04726091362193979,21.06,19.26,21.97,0.06592742952857354,19.93,21.76,0.04389964323892691,000869
2026-04-13,0.06443502701943235,21.06,19.23,21.97,0.06662366474135319,19.9,21.76,0.0445740024454565,000869
2026-04-14,0.07227596144353238,21.06,19.23,21.97,0.06662366474135319,19.87,21.76,0.045249233487334395,000869
2026-04-15,0.06150137607213589,21.03,19.23,21.97,0.06662366474135319,19.87,21.76,0.045249233487334395,000869
2026-04-16,0.04066313028620348,21.03,19.23,21.97,0.06662366474135319,19.82,21.76,0.046602317848726524,000869
2026-04-17,0.03226635180413357,21.03,19.18,21.97,0.06801886730905989,19.77,21.76,0.04795890991017202,000869
2026-04-20,0.037434389827857864,21.03,19.18,21.97,0.06801886730905989,19.74,21.76,0.04863852559364878,000869
2026-04-21,0.02218977909299488,21.01,19.15,21.97,0.06871783824011833,19.74,21.76,0.04863852559364878,000869
2026-04-22,0.015811059181444893,21.01,19.15,21.97,0.06871783824011833,19.71,21.76,0.04931902332927681,000869
2026-04-23,0.027620033104243928,21.01,19.12,21.95,0.06880790167358208,19.69,21.76,0.050000404835353535,000869
2026-04-24,0.09170807618062353,21.01,19.12,21.95,0.06880790167358208,19.66,21.76,0.05068267183464213,000869
2026-04-27,0.057560152837734906,20.98,19.12,21.95,0.06880790167358208,19.63,21.76,0.051365826054386624,000869
2026-04-28,0.13461514843273345,20.95,19.12,21.95,0.06880790167358208,19.53,21.76,0.05410734984044006,000869
2026-04-29,0.09755595259054484,20.95,19.12,21.95,0.06880790167358208,19.42,21.73,0.056246371044030276,000869
2026-04-30,0.13562141055539229,20.92,19.12,21.95,0.06880790167358208,19.39,21.73,0.05693763739895517,000869
2026-05-06,0.12742544244696752,20.92,19.12,21.95,0.06880790167358208,19.36,21.73,0.057629809152700794,000869
