date,close,pct_change,main_net_inflow,main_net_inflow_rate,xlarge_net_inflow,xlarge_net_inflow_rate,large_net_inflow,large_net_inflow_rate,mid_net_inflow,mid_net_inflow_rate,small_net_inflow,small_net_inflow_rate,stock_code
2026-03-04,26.3,0.46,396467056.0,8.38,173053264.0,3.66,223413792.0,4.72,-283712192.0,-6.0,-112754848.0,-2.38,600900
2026-03-05,26.29,-0.04,-109715984.0,-3.05,71072992.0,1.97,-180788976.0,-5.02,-18849424.0,-0.52,128565392.0,3.57,600900
2026-03-06,26.35,0.23,3458224.0,0.15,77179408.0,3.25,-73721184.0,-3.1,4961232.0,0.21,-8419456.0,-0.35,600900
2026-03-09,26.41,0.23,190576576.0,3.36,68883664.0,1.21,121692912.0,2.14,-124997168.0,-2.2,-65579424.0,-1.16,600900
2026-03-10,26.36,-0.19,-185242112.0,-5.76,-240883280.0,-7.49,55641168.0,1.73,87091296.0,2.71,98150800.0,3.05,600900
2026-03-11,26.51,0.57,65451024.0,2.68,911376.0,0.04,64539648.0,2.65,-103224512.0,-4.23,37773488.0,1.55,600900
2026-03-12,26.71,0.75,177547328.0,6.02,141421888.0,4.79,36125440.0,1.22,-94159952.0,-3.19,-83387376.0,-2.83,600900
2026-03-13,26.63,-0.3,-17505216.0,-0.68,13915248.0,0.54,-31420464.0,-1.21,23302304.0,0.9,-5797088.0,-0.22,600900
2026-03-16,26.57,-0.23,-204688576.0,-8.57,-169474000.0,-7.1,-35214576.0,-1.47,75752448.0,3.17,128936128.0,5.4,600900
2026-03-17,26.7,0.49,15915440.0,0.68,-12526544.0,-0.54,28441984.0,1.22,-24202672.0,-1.04,8287232.0,0.35,600900
2026-03-18,26.5,-0.75,-118831216.0,-5.42,-70793360.0,-3.23,-48037856.0,-2.19,-7881728.0,-0.36,126712944.0,5.78,600900
2026-03-19,26.47,-0.11,-109193424.0,-3.93,-68260304.0,-2.46,-40933120.0,-1.47,-26653104.0,-0.96,135846528.0,4.89,600900
2026-03-20,26.39,-0.3,-96599424.0,-4.2,-49302096.0,-2.14,-47297328.0,-2.06,-20513808.0,-0.89,117113232.0,5.09,600900
2026-03-23,25.95,-1.67,-162906704.0,-3.45,-184348240.0,-3.9,21441536.0,0.45,-46513200.0,-0.98,209419872.0,4.43,600900
2026-03-24,26.31,1.39,-46700544.0,-1.9,52021968.0,2.12,-98722512.0,-4.02,-22741872.0,-0.93,69442400.0,2.83,600900
2026-03-25,26.42,0.42,-160379648.0,-6.87,-106400112.0,-4.56,-53979536.0,-2.31,-34606192.0,-1.48,194985856.0,8.35,600900
2026-03-26,26.52,0.38,-53787808.0,-2.33,12810816.0,0.56,-66598624.0,-2.89,-37166512.0,-1.61,90954336.0,3.95,600900
2026-03-27,26.46,-0.23,-43406412.0,-2.32,-169759996.0,-9.08,126353584.0,6.76,17904272.0,0.96,25502128.0,1.36,600900
2026-03-30,26.35,-0.42,7703088.0,0.41,1002496.0,0.05,6700592.0,0.36,-95542752.0,-5.08,87839664.0,4.67,600900
2026-03-31,26.25,-0.38,-103070528.0,-4.73,-47408224.0,-2.17,-55662304.0,-2.55,-48248544.0,-2.21,151319056.0,6.94,600900
2026-04-01,26.09,-0.61,-244330656.0,-10.01,-161961984.0,-6.64,-82368672.0,-3.38,11291952.0,0.46,233038704.0,9.55,600900
2026-04-02,26.22,0.5,155614912.0,7.82,-8222432.0,-0.41,163837344.0,8.24,-104512368.0,-5.25,-51102560.0,-2.57,600900
2026-04-03,25.91,-1.18,3688416.0,0.21,-15818944.0,-0.9,19507360.0,1.11,-64098896.0,-3.65,60410480.0,3.44,600900
2026-04-07,25.69,-0.85,-72822592.0,-3.78,33973936.0,1.76,-106796528.0,-5.54,-41475232.0,-2.15,114297808.0,5.93,600900
2026-04-08,25.79,0.39,-207080560.0,-9.68,-217496544.0,-10.17,10415984.0,0.49,98132592.0,4.59,108947968.0,5.1,600900
2026-04-09,25.6,-0.74,-200647984.0,-11.0,-192194688.0,-10.54,-8453296.0,-0.46,10871872.0,0.6,189776096.0,10.4,600900
2026-04-10,25.61,0.04,61692048.0,3.51,117130096.0,6.67,-55438048.0,-3.16,-95344832.0,-5.43,33652784.0,1.92,600900
2026-04-13,25.63,0.08,-12244693.0,-0.74,-64301029.0,-3.9,52056336.0,3.16,-23476576.0,-1.42,35721264.0,2.17,600900
2026-04-14,25.63,0.0,-143355920.0,-7.75,59085472.0,3.2,-202441392.0,-10.95,-11270656.0,-0.61,154626576.0,8.36,600900
2026-04-15,25.76,0.51,-4580368.0,-0.18,161143552.0,6.25,-165723920.0,-6.43,21860432.0,0.85,-17280064.0,-0.67,600900
2026-04-16,25.76,0.0,-49855120.0,-2.61,-109248768.0,-5.71,59393648.0,3.11,4265200.0,0.22,45589936.0,2.38,600900
2026-04-17,25.59,-0.66,79719984.0,3.6,44016048.0,1.99,35703936.0,1.61,-118923504.0,-5.37,39203536.0,1.77,600900
2026-04-20,26.05,1.8,367874896.0,14.49,83128720.0,3.28,284746176.0,11.22,-264357904.0,-10.42,-103516992.0,-4.08,600900
2026-04-21,26.34,1.11,213448640.0,8.73,93029072.0,3.8,120419568.0,4.92,-198413248.0,-8.11,-15035408.0,-0.61,600900
2026-04-22,26.07,-1.03,-172361312.0,-8.63,-110261488.0,-5.52,-62099824.0,-3.11,18887568.0,0.95,153473744.0,7.68,600900
2026-04-23,26.16,0.35,139081216.0,6.13,340485280.0,15.0,-201404064.0,-8.87,-199674304.0,-8.8,60593088.0,2.67,600900
2026-04-24,26.02,-0.54,23247952.0,1.54,80208368.0,5.3,-56960416.0,-3.76,-25019056.0,-1.65,1771072.0,0.12,600900
2026-04-27,25.87,-0.58,45322864.0,3.01,63988352.0,4.25,-18665488.0,-1.24,-93093056.0,-6.19,47770176.0,3.18,600900
2026-04-28,25.94,0.27,-191954544.0,-10.27,-73075120.0,-3.91,-118879424.0,-6.36,-20824048.0,-1.11,212778610.0,11.38,600900
2026-04-29,25.98,0.15,37055408.0,1.62,210793152.0,9.23,-173737744.0,-7.6,-132042800.0,-5.78,94987408.0,4.16,600900
2026-04-30,26.53,2.12,729427200.0,13.98,534631472.0,10.25,194795728.0,3.73,-467510944.0,-8.96,-261916240.0,-5.02,600900
2026-05-06,26.41,-0.45,-348003296.0,-10.36,-263880208.0,-7.85,-84123088.0,-2.5,92319056.0,2.75,255684256.0,7.61,600900
2026-05-07,26.26,-0.57,70208944.0,2.67,71800848.0,2.73,-1591904.0,-0.06,-188543728.0,-7.16,118334784.0,4.49,600900
2026-05-08,26.21,-0.19,86611328.0,3.98,174957568.0,8.05,-88346240.0,-4.06,-162270672.0,-7.47,75659328.0,3.48,600900
2026-05-11,26.22,0.04,142383552.0,5.11,203944672.0,7.32,-61561120.0,-2.21,-272714992.0,-9.78,130331424.0,4.67,600900
2026-05-12,26.25,0.11,93910432.0,3.43,63556176.0,2.32,30354256.0,1.11,-144487536.0,-5.28,50577120.0,1.85,600900
2026-05-13,26.21,-0.15,-351376096.0,-9.28,-185593632.0,-4.9,-165782464.0,-4.38,44763984.0,1.18,306612112.0,8.1,600900
2026-05-14,26.15,-0.23,-158005808.0,-5.32,-103680880.0,-3.49,-54324928.0,-1.83,-64504704.0,-2.17,222510512.0,7.49,600900
2026-05-15,26.24,0.34,244836496.0,7.65,124077568.0,3.87,120758928.0,3.77,-184066128.0,-5.75,-60770368.0,-1.9,600900
2026-05-18,26.1,-0.53,-335506640.0,-13.61,-297601584.0,-12.07,-37905056.0,-1.54,91766720.0,3.72,243739952.0,9.89,600900
2026-05-19,26.46,1.38,603111200.0,12.85,495194192.0,10.55,107917008.0,2.3,-508250880.0,-10.83,-94860320.0,-2.02,600900
2026-05-20,26.11,-1.32,-707195136.0,-20.36,-530498976.0,-15.27,-176696160.0,-5.09,203049072.0,5.85,504146080.0,14.52,600900
2026-05-21,25.87,-0.92,-264301408.0,-8.45,-228885936.0,-7.32,-35415472.0,-1.13,24407472.0,0.78,239893936.0,7.67,600900
2026-05-22,25.77,-0.39,-210711504.0,-8.65,-173279088.0,-7.11,-37432416.0,-1.54,-13505536.0,-0.55,224217040.0,9.2,600900
2026-05-25,25.88,0.43,-46509344.0,-2.07,-37924848.0,-1.69,-8584496.0,-0.38,-205420064.0,-9.15,251929392.0,11.22,600900
2026-05-26,26.35,1.82,374640320.0,8.52,282428864.0,6.42,92211456.0,2.1,-300256512.0,-6.83,-74383808.0,-1.69,600900
2026-05-27,26.45,0.38,83333536.0,2.75,147920704.0,4.89,-64587168.0,-2.13,-159073344.0,-5.26,75739808.0,2.5,600900
2026-05-28,26.43,-0.08,-80969824.0,-2.59,27299968.0,0.87,-108269792.0,-3.46,-97630144.0,-3.12,178599952.0,5.72,600900
2026-05-29,26.96,2.01,825416288.0,14.02,535859696.0,9.1,289556592.0,4.92,-194215424.0,-3.3,-631200864.0,-10.72,600900
2026-06-01,26.98,0.07,149190784.0,3.86,263111408.0,6.81,-113920624.0,-2.95,-97247472.0,-2.52,-51943312.0,-1.35,600900
2026-06-02,27.17,0.7,-148384464.0,-4.22,-91837664.0,-2.61,-56546800.0,-1.61,71536192.0,2.04,76848288.0,2.19,600900
2026-06-03,27.1,-0.26,-150782720.0,-4.76,21033088.0,0.66,-171815808.0,-5.42,14731488.0,0.46,136051248.0,4.29,600900
2026-06-04,26.93,-0.63,-114360576.0,-4.7,-48447328.0,-1.99,-65913248.0,-2.71,-70256064.0,-2.89,184616640.0,7.59,600900
2026-06-05,26.82,-0.41,-45991696.0,-1.51,-139793184.0,-4.6,93801488.0,3.08,-12852304.0,-0.42,58843984.0,1.93,600900
2026-06-08,26.72,-0.37,75898864.0,2.34,-92650144.0,-2.86,168549008.0,5.21,62611120.0,1.93,-138509984.0,-4.28,600900
2026-06-09,26.84,0.45,-87037600.0,-3.58,-122947392.0,-5.05,35909792.0,1.48,-82300208.0,-3.38,169337808.0,6.96,600900
2026-06-10,26.9,0.22,-56006624.0,-2.28,-110595600.0,-4.5,54588976.0,2.22,52612912.0,2.14,3393696.0,0.14,600900
2026-06-11,27.1,0.74,-101969696.0,-3.7,-263953568.0,-9.57,161983872.0,5.87,162695712.0,5.9,-60726032.0,-2.2,600900
