date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,stock_code,ma5,ma10,ma20,dif,dea,macd
2026-02-24,000869,20.62,20.43,20.62,20.37,7190,14873300.0,1.23,0.29,0.06,0.16,000869,,,,0.0,0.0,0.0
2026-02-25,000869,20.45,20.53,20.65,20.43,9644,20060037.9,1.08,0.49,0.1,0.21,000869,,,,0.00797720797720558,0.001595441595441116,0.012763532763528929
2026-02-26,000869,20.52,20.43,20.52,20.35,10562,21822158.39,0.83,-0.49,-0.1,0.23,000869,,,,0.006159040916873693,0.0025081614597276315,0.007301758914292122
2026-02-27,000869,20.43,20.36,20.43,20.25,16276,33470068.52,0.88,-0.34,-0.07,0.36,000869,,,,-0.0009196830297319991,0.0018225925618357056,-0.0054845511831354095
2026-03-02,000869,20.21,19.91,20.22,19.86,27484,55651880.64,1.77,-2.21,-0.45,0.6,000869,20.332,,,-0.04235264699895325,-0.007012455350322085,-0.07068038329726233
2026-03-03,000869,19.92,19.74,20.01,19.74,14215,28563276.45,1.36,-0.85,-0.17,0.31,000869,20.194,,,-0.08789297321986922,-0.023188558924231516,-0.1294088285912754
2026-03-04,000869,19.72,19.4,19.72,19.31,19016,37539118.31,2.08,-1.72,-0.34,0.42,000869,19.967999999999996,,,-0.14969359378360636,-0.048489565896106486,-0.20240805577499976
2026-03-05,000869,19.53,19.44,19.61,19.35,11432,22485576.7,1.34,0.21,0.04,0.25,000869,19.77,,,-0.1932160903075193,-0.07743487077838906,-0.23156243905826046
2026-03-06,000869,19.43,19.49,19.5,19.31,17174,33783380.78,0.98,0.26,0.05,0.38,000869,19.595999999999997,,,-0.2211244156147778,-0.10617277974566681,-0.22990327173822198
2026-03-09,000869,19.34,19.43,19.44,19.24,11779,23078873.55,1.03,-0.31,-0.06,0.26,000869,19.5,19.916,,-0.2452563010764166,-0.1339894840118168,-0.22253363412919963
2026-03-10,000869,19.5,19.85,19.85,19.45,14135,28078601.18,2.06,2.16,0.42,0.31,000869,19.522,19.857999999999997,,-0.22786383183893832,-0.1527643535772411,-0.15019895652339443
2026-03-11,000869,19.84,19.75,19.95,19.59,14163,28354881.0,1.81,-0.5,-0.1,0.31,000869,19.592000000000002,19.779999999999998,,-0.21961772252935674,-0.16613502736766425,-0.10696539032338498
2026-03-12,000869,19.67,19.75,19.8,19.37,13546,26878643.61,2.18,0.0,0.0,0.3,000869,19.654000000000003,19.712,,-0.21065432950869578,-0.17503888779587057,-0.07123088342565043
2026-03-13,000869,19.64,19.66,19.83,19.61,13074,26098604.15,1.11,-0.46,-0.09,0.29,000869,19.688,19.642,,-0.20841059617902147,-0.18171322947250074,-0.05339473341304146
2026-03-16,000869,19.69,19.76,19.8,19.65,8929,17831404.53,0.76,0.51,0.1,0.2,000869,19.754,19.627000000000002,,-0.19630042794432967,-0.18463066916686652,-0.023339517554926303
2026-03-17,000869,19.77,19.68,19.85,19.66,8968,17952406.87,0.96,-0.4,-0.08,0.2,000869,19.720000000000002,19.621,,-0.19095712886650063,-0.18589596110679335,-0.01012233551941455
2026-03-18,000869,19.83,19.62,19.83,19.5,8515,16896830.52,1.68,-0.3,-0.06,0.19,000869,19.694,19.643,,-0.18938095860476878,-0.18659296060638847,-0.005575995996760619
2026-03-19,000869,19.45,19.41,19.59,19.35,10139,19963324.14,1.22,-1.07,-0.21,0.22,000869,19.625999999999998,19.639999999999997,,-0.20274001656375518,-0.18982237179786182,-0.02583528953178671
2026-03-20,000869,19.39,19.01,19.49,19.01,8762,17096622.87,2.47,-2.06,-0.4,0.19,000869,19.496000000000002,19.592000000000002,,-0.24280491933431136,-0.20041888130515176,-0.08477207605831921
2026-03-23,000869,19.1,18.36,19.1,18.36,21390,40362008.0,3.89,-3.42,-0.65,0.47,000869,19.216,19.485,19.700499999999998,-0.3232796446464654,-0.2249910339734145,-0.19657722134610184
2026-03-24,000869,18.54,18.71,18.78,18.4,9627,18150653.61,2.07,1.91,0.35,0.21,000869,19.022,19.371000000000002,19.6145,-0.35472531667568674,-0.25093789051386894,-0.2075748523236356
2026-03-25,000869,18.76,18.9,18.94,18.72,8774,16741439.66,1.18,1.02,0.19,0.19,000869,18.878,19.286,19.533,-0.36016309029771776,-0.27278293047063873,-0.17476031965415806
2026-03-26,000869,18.84,18.7,19.07,18.62,9697,18477284.8,2.38,-1.06,-0.2,0.21,000869,18.736,19.181,19.4465,-0.3762734475195657,-0.2934810338804241,-0.16558482727828316
2026-03-27,000869,18.62,18.93,18.97,18.54,7474,14262976.34,2.3,1.23,0.23,0.16,000869,18.72,19.108,19.375,-0.36625992742249736,-0.3080368125888388,-0.1164462296673171
2026-03-30,000869,18.85,19.08,19.11,18.67,6187,11898807.3,2.32,0.79,0.15,0.14,000869,18.863999999999997,19.04,19.333499999999997,-0.3422748626464802,-0.3148844226003671,-0.05478088009222626
2026-03-31,000869,19.13,19.01,19.24,18.97,7749,15011583.0,1.42,-0.37,-0.07,0.17,000869,18.924,18.973,19.297,-0.32516662257812357,-0.3169408625959184,-0.0164515199644103
2026-04-01,000869,19.15,19.24,19.28,18.98,7727,15003487.67,1.58,1.21,0.23,0.17,000869,18.991999999999997,18.935000000000002,19.288999999999998,-0.28970954990259656,-0.31149460005725405,0.04357010030931496
2026-04-02,000869,19.37,19.13,19.39,19.11,8995,17525902.94,1.46,-0.57,-0.11,0.2,000869,19.077999999999996,18.907,19.2735,-0.26740318755108916,-0.3026763175560211,0.07054626000986386
2026-04-03,000869,19.33,18.91,19.33,18.74,8104,15496309.18,3.08,-1.15,-0.22,0.18,000869,19.074,18.897,19.2445,-0.26442922060844154,-0.2950268981665052,0.06119535511612728
2026-04-07,000869,18.82,18.88,18.95,18.67,5689,10867415.01,1.48,-0.16,-0.03,0.13,000869,19.034,18.949,19.217000000000002,-0.2614789135096913,-0.28831730123514243,0.053676775450902214
2026-04-08,000869,19.03,19.14,19.22,18.98,7502,14535700.65,1.27,1.38,0.26,0.16,000869,19.06,18.991999999999997,19.1815,-0.23544686192508735,-0.2777432133731314,0.08459270289608811
2026-04-09,000869,19.07,19.03,19.14,18.8,8422,16185254.1,1.78,-0.57,-0.11,0.19,000869,19.018,19.005,19.145500000000002,-0.2211431535676347,-0.2664232014120321,0.09056009568879475
2026-04-10,000869,19.14,19.0,19.25,18.96,12819,24806379.4,1.52,-0.16,-0.03,0.28,000869,18.992,19.035,19.108,-0.20980955695062775,-0.2551004725197512,0.09058183113824692
2026-04-13,000869,18.98,19.07,19.13,18.84,10019,19287422.86,1.53,0.37,0.07,0.22,000869,19.024,19.049,19.0785,-0.19295492077547038,-0.24267136217089505,0.09943288279084933
2026-04-14,000869,19.13,19.09,19.13,18.93,4307,8296583.73,1.05,0.1,0.02,0.09,000869,19.066,19.05,19.044999999999998,-0.17595536342142282,-0.22932816242100063,0.10674559799915562
2026-04-15,000869,19.13,19.05,19.14,18.97,6502,12533913.52,0.89,-0.21,-0.04,0.14,000869,19.048,19.054,19.0135,-0.16382231576886142,-0.2162269930905728,0.10480935464342278
2026-04-16,000869,19.05,18.9,19.05,18.87,11510,22081853.0,0.94,-0.79,-0.15,0.25,000869,19.022,19.020000000000003,18.9775,-0.16441525774170884,-0.2058646460208,0.08289877655818234
2026-04-17,000869,18.87,18.83,18.95,18.67,10385,19736120.18,1.48,-0.37,-0.07,0.23,000869,18.988,18.99,18.948500000000003,-0.16859018085158795,-0.19840975298695762,0.05963914427073935
2026-04-20,000869,18.98,18.85,18.98,18.84,6426,12307365.85,0.74,0.11,0.02,0.14,000869,18.944,18.984,18.9405,-0.16834443478837002,-0.1923966893472401,0.04810450911774017
2026-04-21,000869,18.85,18.79,19.0,18.76,8091,15464092.58,1.27,-0.32,-0.06,0.18,000869,18.884,18.975,18.962,-0.17101976838797128,-0.18812130515538636,0.03420307353483015
2026-04-22,000869,18.75,18.71,18.79,18.69,5934,11262250.44,0.53,-0.43,-0.08,0.13,000869,18.816,18.932000000000002,18.961999999999996,-0.1775486506282533,-0.18600677424995976,0.016916247243412896
2026-04-23,000869,18.74,18.79,18.98,18.66,8878,16950749.87,1.71,0.43,0.08,0.2,000869,18.794,18.908,18.9565,-0.17425875892901033,-0.18365717118576988,0.018796824513519106
2026-04-24,000869,18.75,19.02,19.07,18.69,11393,21818147.1,2.02,1.22,0.23,0.25,000869,18.832,18.910000000000004,18.9725,-0.1513477753022059,-0.1771952920090571,0.05169503341370241
2026-04-27,000869,19.02,18.88,19.11,18.83,10539,20222091.25,1.47,-0.74,-0.14,0.23,000869,18.838,18.891,18.97,-0.14284090465098487,-0.17032441453744265,0.05496701977291557
2026-04-28,000869,18.99,19.15,19.29,18.94,21580,41858083.05,1.85,1.43,0.27,0.47,000869,18.91,18.897,18.9735,-0.11300969938690741,-0.15886147150733562,0.09170354424085642
2026-04-29,000869,19.08,19.02,19.2,18.95,20576,39741221.69,1.31,-0.68,-0.13,0.45,000869,18.972,18.894,18.974,-0.09872018301890506,-0.14683321380964953,0.09622606158148894
2026-04-30,000869,19.02,19.1,19.1,18.85,11046,21227968.65,1.31,0.42,0.08,0.24,000869,19.034,18.913999999999998,18.967000000000002,-0.08001791027452754,-0.13347015310262514,0.1069044856561952
2026-05-06,000869,19.12,19.06,19.14,18.99,11634,22479339.43,0.79,-0.21,-0.04,0.26,000869,19.041999999999998,18.937,18.963500000000003,-0.06764413065685915,-0.12030494861347193,0.10532163591322558
2026-05-07,000869,19.01,19.0,19.15,18.88,12120,23301203.8,1.42,-0.31,-0.06,0.27,000869,19.066,18.951999999999998,18.968,-0.06196502547883398,-0.10863696398654435,0.09334387701542074
2026-05-08,000869,19.0,19.06,19.11,18.92,11862,22846347.07,1.0,0.32,0.06,0.26,000869,19.048,18.979,18.976999999999997,-0.05202310517720932,-0.09731419222467734,0.09058217409493605
2026-05-11,000869,19.06,19.11,19.13,18.98,10516,20309587.29,0.79,0.26,0.05,0.23,000869,19.066,19.019,18.9755,-0.0396523914915754,-0.08578183207805697,0.09225888117296313
2026-05-12,000869,19.11,19.02,19.13,18.95,11292,21733919.43,0.94,-0.47,-0.09,0.25,000869,19.049999999999997,19.041999999999998,18.975,-0.03668784496874267,-0.07596303465619411,0.07855037937490289
2026-05-13,000869,19.03,18.72,19.08,18.66,13515,25719940.12,2.21,-1.58,-0.3,0.3,000869,18.982,19.011999999999997,18.961,-0.05787872339137934,-0.07234617240323116,0.028934898023703637
2026-05-14,000869,18.92,18.76,18.97,18.56,15130,28750017.89,2.19,0.21,0.04,0.33,000869,18.934,19.0,18.9455,-0.07063079368385772,-0.07200309665935647,0.002744605950997514
2026-05-15,000869,19.22,18.85,19.25,18.78,17514,33635544.97,2.51,0.48,0.09,0.38,000869,18.892000000000003,18.970000000000002,18.933500000000002,-0.07263733543797457,-0.0721299444150801,-0.0010147820457889478
2026-05-18,000869,18.75,18.8,18.97,18.59,13195,25026191.38,2.02,-0.27,-0.05,0.29,000869,18.830000000000002,18.948,18.921,-0.07737024039703755,-0.07317800361147159,-0.008384473571131923
2026-05-19,000869,18.8,18.92,18.95,18.68,14263,27282190.0,1.44,0.64,0.12,0.31,000869,18.810000000000002,18.93,18.922,-0.07062399510402884,-0.07266720190998305,0.004086413611908424
2026-05-20,000869,18.98,18.97,19.23,18.94,24836,48012359.56,1.53,0.26,0.05,0.55,000869,18.860000000000003,18.921,18.929,-0.06054503944592682,-0.07024276941717181,0.01939545994248998
2026-05-21,000869,18.94,18.93,19.22,18.7,25162,48427179.04,2.74,-0.21,-0.04,0.55,000869,18.894,18.914,18.933,-0.05514933299646074,-0.0672240821330296,0.024149498273137726
